shop,posting_number,accrual_date,type_id,accrual_type,sku,quantity,seller_price,amount,currency
Instax Shop,0137685168-0108-3,2026-08-03,74,StarsMembership,2082847183,1,,-16.46,RUB
Instax Shop,0137685168-0108-3,2026-08-03,32,Logistic,2082847183,1,,-65,RUB
Instax Shop,0137685168-0108-3,2026-08-03,69,SaleCommission,2082847183,1,1097,-537.53,RUB
Instax Shop,0137685168-0108-3,2026-08-03,29,LastMileCourier,2082847183,1,,-7.45,RUB
Instax Shop,0163292062-0119-1,2026-08-03,32,Logistic,2082848101,1,,-59,RUB
Instax Shop,0163292062-0119-1,2026-08-03,69,SaleCommission,2082848101,1,1097,-537.53,RUB
Instax Shop,0163292062-0119-1,2026-08-03,74,StarsMembership,2082848101,1,,-16.46,RUB
Instax Shop,0163292062-0119-1,2026-08-03,29,LastMileCourier,2082848101,1,,-10.62,RUB
Instax Shop,0153436549-0008-1,2026-08-04,74,StarsMembership,1281298623,1,,-16.46,RUB
Instax Shop,0153436549-0008-1,2026-08-04,98,DeliveryToHandoverPlaceByOzon,1281298623,1,,-25,RUB
Instax Shop,0153436549-0008-1,2026-08-04,32,Logistic,1281298623,1,,-56,RUB
Instax Shop,78865726-0065-1,2026-08-04,69,SaleCommission,2082847117,1,1097,-537.53,RUB
Instax Shop,78865726-0065-1,2026-08-04,74,StarsMembership,2082847117,1,,-16.46,RUB
Instax Shop,78865726-0065-1,2026-08-04,32,Logistic,2082847117,1,,-65,RUB
Instax Shop,78865726-0065-1,2026-08-04,29,LastMileCourier,2082847117,1,,-9.33,RUB
Instax Shop,62028157-0268-1,2026-08-06,29,LastMileCourier,2082848101,1,,-7.51,RUB
Instax Shop,62028157-0268-1,2026-08-06,69,SaleCommission,2082848101,1,1097,-537.53,RUB
Instax Shop,62028157-0268-1,2026-08-06,32,Logistic,2082848101,1,,-65,RUB
Instax Shop,62028157-0268-1,2026-08-06,74,StarsMembership,2082848101,1,,-16.46,RUB
Instax Shop,50804649-0469-1,2026-08-19,45,PickUpPointReturnAcceptance,2078709026,1,,-15,RUB
Instax Shop,50804649-0469-1,2026-08-19,59,ReturnFlowLogistic,2078709026,1,,-56,RUB
Instax Shop,50804649-0469-1,2026-08-19,29,LastMileCourier,2078709026,1,,-7.35,RUB
Instax Shop,50804649-0469-1,2026-08-19,32,Logistic,2078709026,1,,-61,RUB
Instax Shop,58878313-0459-3,2026-08-05,59,ReturnFlowLogistic,1281295474,1,,-56,RUB
Instax Shop,58878313-0459-3,2026-08-03,38,PackageCost,1281295474,1,,-5,RUB
Instax Shop,58878313-0459-3,2026-08-05,29,LastMileCourier,1281295474,1,,-9.39,RUB
Instax Shop,58878313-0459-3,2026-08-05,32,Logistic,1281295474,1,,-65,RUB
Instax Shop,58878313-0459-3,2026-08-05,45,PickUpPointReturnAcceptance,1281295474,1,,-15,RUB
Instax Shop,58878313-0459-3,2026-08-03,39,PackingFee,1281295474,1,,-10,RUB
Instax Shop,81019453-0408-1,2026-08-05,98,DeliveryToHandoverPlaceByOzon,1281295474,1,,-25,RUB
Instax Shop,81019453-0408-1,2026-08-05,74,StarsMembership,1281295474,1,,-16.46,RUB
Instax Shop,81019453-0408-1,2026-08-05,69,SaleCommission,1281295474,1,1097,-537.53,RUB
Instax Shop,81019453-0408-1,2026-08-05,32,Logistic,1281295474,1,,-59,RUB
Instax Shop,37120840-0230-1,2026-08-06,74,StarsMembership,1281298623,1,,-16.44,RUB
Instax Shop,37120840-0230-1,2026-08-06,32,Logistic,1281298623,1,,-66,RUB
Instax Shop,37120840-0230-1,2026-08-06,69,SaleCommission,1281298623,1,1096,-537.04,RUB
Instax Shop,37120840-0230-1,2026-08-06,29,LastMileCourier,1281298623,1,,-6.61,RUB
Instax Shop,03155095-0225-2,2026-08-03,69,SaleCommission,2082848281,1,1097,-537.53,RUB
Instax Shop,03155095-0225-2,2026-08-03,32,Logistic,2082848281,1,,-65,RUB
Instax Shop,03155095-0225-2,2026-08-03,74,StarsMembership,2082848281,1,,-16.46,RUB
